[16:11:11] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49700
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49671
[16:11:11] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:11] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:11] 192.168.0.147 -> 142.251.220.36 | UDP | 52661 -> 443
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49700
[16:11:11] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:11] 142.251.220.36 -> 192.168.0.147 | UDP | 443 -> 52661
[16:11:11] 192.168.0.147 -> 4.186.9.165 | TCP | 61529 -> 443
[16:11:11] 4.186.9.165 -> 192.168.0.147 | TCP | 443 -> 61529
[16:11:11] 192.168.0.147 -> 4.186.9.165 | TCP | 61529 -> 443
[16:11:11] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:11] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:11] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:11] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:12] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 172.217.194.119 -> 192.168.0.147 | UDP | 443 -> 59833
[16:11:12] 192.168.0.147 -> 172.217.194.119 | UDP | 59833 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
